X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
8.708683938711676e-8,0.026035807360888806,,8.708683938711676e-8,-3.771773071620566e-10,,8.708683938711676e-8,-0.074960568590549,,8.708683938711676e-8,-8.378181914728885e-7,,8.708683938711676e-8,0.008207731005827761
8.925841690703133e-8,0.012472951762822234,,8.925841690703133e-8,-3.621183757703164e-10,,8.925841690703133e-8,0.0821783784786591,,8.925841690703133e-8,-8.378457864094021e-7,,8.925841690703133e-8,0.008412396580080184
9.128621478656187e-8,-0.014089432517729695,,9.128621478656187e-8,-3.482207083749126e-10,,9.128621478656187e-8,0.027492401913849874,,9.128621478656187e-8,-8.38015754612278e-7,,9.128621478656187e-8,0.008603511259132755
9.236301182865349e-8,-0.018253653749467507,,9.236301182865349e-8,-3.409086633655258e-10,,9.236301182865349e-8,0.02463805502988229,,9.236301182865349e-8,-8.381294854444887e-7,,9.236301182865349e-8,0.008704996567160832
9.36588262338299e-8,-0.013878900844551118,,9.36588262338299e-8,-3.3217498528139183e-10,,9.36588262338299e-8,-0.04417966199574553,,9.36588262338299e-8,-8.381935147791604e-7,,9.36588262338299e-8,0.008827123676247692
9.453446894461136e-8,-0.009554387932995644,,9.453446894461136e-8,-3.2631534286033233e-10,,9.453446894461136e-8,-0.025298410723224196,,9.453446894461136e-8,-8.381889653088043e-7,,9.453446894461136e-8,0.008909650696874143
9.524603648739113e-8,-0.0018437211928706556,,9.524603648739113e-8,-3.2157866442038523e-10,,9.524603648739113e-8,-0.07796386771447604,,9.524603648739113e-8,-8.381604783096418e-7,,9.524603648739113e-8,0.008976714059831876
9.556728348383534e-8,0.00003416786969554702,,9.556728348383534e-8,-3.1944763897728795e-10,,9.556728348383534e-8,-0.014030490481484172,,9.556728348383534e-8,-8.381420332749061e-7,,9.556728348383534e-8,0.009006990739952848
9.573676421031441e-8,0.0006399763399008926,,9.573676421031441e-8,-3.183251914166125e-10,,9.573676421031441e-8,-0.03109755385585506,,9.573676421031441e-8,-8.381315732660753e-7,,9.573676421031441e-8,0.009022963849990864
9.590148331952145e-8,0.0010342325079583346,,9.590148331952145e-8,-3.172356845782824e-10,,9.590148331952145e-8,-0.013247990760836768,,9.590148331952145e-8,-8.381214355220162e-7,,9.590148331952145e-8,0.009038488189954744
9.604505360226039e-8,0.001463864151312515,,9.604505360226039e-8,-3.162870069299304e-10,,9.604505360226039e-8,-0.03339202277137413,,9.604505360226039e-8,-8.381128669363106e-7,,9.604505360226039e-8,0.0090520193088162
9.618469273300875e-8,0.0013821568362381198,,9.618469273300875e-8,-3.1536528054047566e-10,,9.618469273300875e-8,0.03324736546365878,,9.618469273300875e-8,-8.381049354965117e-7,,9.618469273300875e-8,0.009065179926838661
9.631511345302821e-8,0.0003194218518751151,,9.631511345302821e-8,-3.1450511100049554e-10,,9.631511345302821e-8,0.02266176958095891,,9.631511345302821e-8,-8.380981418925212e-7,,9.631511345302821e-8,0.009077471733921608
9.63821741081406e-8,0.0002297667254698177,,9.63821741081406e-8,-3.140631875133503e-10,,9.63821741081406e-8,-0.07475842553038367,,9.63821741081406e-8,-8.380949664957876e-7,,9.63821741081406e-8,0.009083792022811588
9.644367009638988e-8,0.0007429889424133535,,9.644367009638988e-8,-3.1365814373185833e-10,,9.644367009638988e-8,0.029192699800138798,,9.644367009638988e-8,-8.380922600561975e-7,,9.644367009638988e-8,0.00908958785657257
